"","Taxon","Phylum","Class","Order","Family","Genus","logFC","p_value","q_value","Significant","Direction","Taxon_ID","TaxonLabel"
"61","Paraprevotella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella",-0.673166221784754,0.107693392578047,0.157950309114468,FALSE,"Not Sig","Genus_59",NA
"62","Bacteroides","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",-5.10401923739084,3.197936091241e-15,5.62836752058416e-14,TRUE,"EU enriched","Genus_6","Bacteroides"
"63","Butyricimonas","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas",-0.99907705596027,0.0281358017246132,0.0505296030972646,FALSE,"Not Sig","Genus_60",NA
"64","Limosilactobacillus","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",1.01037351661557,0.00755446438401967,0.0154602992045054,TRUE,"BF enriched","Genus_61","Limosilactobacillus"
"65","Eisenbergiella","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella",-0.588869899517116,0.215544923316373,0.296374269560013,FALSE,"Not Sig","Genus_63",NA
"66","Xylanibacter","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Xylanibacter",2.16245126874292,2.3782010010233e-05,9.96579467095478e-05,TRUE,"BF enriched","Genus_64","Xylanibacter"
"67","Flavonifractor","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor",-0.604874555854662,0.230856872333628,0.307809163111505,FALSE,"Not Sig","Genus_65",NA
"68","Anaerostipes","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes",-0.428542220137221,0.52607167973033,0.625598754273906,FALSE,"Not Sig","Genus_66",NA
"69","Agathobaculum","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum",0.710892312816446,0.242233715783377,0.310494513702109,FALSE,"Not Sig","Genus_67",NA
"70","Ruthenibacterium","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",-1.37307549533685,0.00221669189212826,0.00527213206776451,TRUE,"EU enriched","Genus_68","Ruthenibacterium"
"71","Coprobacter","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter",-0.989908188108665,0.0135270948878494,0.0266679061416574,FALSE,"Not Sig","Genus_69",NA
"72","Leyella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella",6.23757825421578,2.26177528790672e-51,9.95181126678958e-50,TRUE,"BF enriched","Genus_7","Leyella"
"73","Hungatella","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Hungatella",-1.42882237480462,0.000570803376712252,0.00186039619076586,TRUE,"EU enriched","Genus_70","Hungatella"
"74","Oxalobacter","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",0.11380697586359,0.740360331461009,0.775615585340104,FALSE,"Not Sig","Genus_71",NA
"75","Caproicibacterium","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Caproicibacterium",-0.185235506878863,0.550368323327306,0.645765499370705,FALSE,"Not Sig","Genus_74",NA
"76","Enterocloster","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster",-0.874410763192494,0.094508647729111,0.140962050850199,FALSE,"Not Sig","Genus_75",NA
"77","Butyricicoccus","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Butyricicoccus",0.922865240950215,0.0778702660783732,0.120220761664857,FALSE,"Not Sig","Genus_76",NA
"78","Anaerotignum","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum",-1.10952313791173,0.00378228044208677,0.00853437638214449,TRUE,"EU enriched","Genus_77","Anaerotignum"
"79","Escherichia/Shigella","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella",-0.48398619313397,0.518354638102335,0.624865865109665,FALSE,"Not Sig","Genus_8",NA
"80","Campylobacter","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",0.991930185744824,0.000405272306415552,0.00142655851858274,FALSE,"Not Sig","Genus_83",NA
"81","Mitsuokella","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella",1.00305249210548,0.00741153026151658,0.0154602992045054,TRUE,"BF enriched","Genus_84","Mitsuokella"
"82","Muribaculum","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",1.056479088863,0.00174120283846724,0.00425627360514214,TRUE,"BF enriched","Genus_86","Muribaculum"
"83","Duodenibacillus","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Duodenibacillus",1.18740343556623,0.000281104482645034,0.00103071643636513,TRUE,"BF enriched","Genus_89","Duodenibacillus"
"84","Streptococcus","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",-0.250934072291809,0.686889085074864,0.746249870204791,FALSE,"Not Sig","Genus_9",NA
"85","Rothia","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",0.355377780028864,0.243455925516426,0.310494513702109,FALSE,"Not Sig","Genus_90",NA
"86","Hespellia","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Hespellia",0.823052637134104,0.00143910610152361,0.00372474520394347,FALSE,"Not Sig","Genus_91",NA
"87","Muricoprocola","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Muricoprocola",1.02037680759027,0.00172715713732806,0.00425627360514214,TRUE,"BF enriched","Genus_92","Muricoprocola"
"88","Lactococcus","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",0.135760015717915,0.580180443199546,0.671787881599474,FALSE,"Not Sig","Genus_94",NA
